id,user_id,client_id,amount,ordered_at,name,email,created_at,updated_at,recency,frequency,monetary,score,kmeans
41126,26,1042,4892.00,"2020-01-25 00:18:42","Fletcher Dignum",fdignum16@globo.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:05.000000Z,0,497,1309453,2,3
41160,26,1005,4044.00,"2018-11-14 18:53:26","Roz Cobbled",rcobbled5@tuttocitta.it,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,1,500,1294110,2.7,1
41142,26,1081,2428.00,"2020-03-26 22:10:02","Zacharias Jeffree",zjeffree29@who.int,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,2,540,1430177,2,2
41156,26,1029,3943.00,"2018-11-01 02:39:13","North Garfitt",ngarfittt@thetimes.co.uk,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,2,483,1215056,4,4
41163,26,1008,2884.00,"2019-01-08 14:56:25","Elia Muzzall",emuzzall8@cmu.edu,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:07.000000Z,2,512,1277100,2.7,1
41124,26,1093,4884.00,"2020-03-29 14:31:23","Doralynne Bengal",dbengal2l@yahoo.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,487,1223363,2.7,4
41127,26,1016,2025.00,"2019-06-20 01:29:17","Conrado Gilcrist",cgilcristg@histats.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,497,1264528,2.3,1
41153,26,1056,3100.00,"2020-01-15 03:04:27","Wynn Cridge",wcridge1k@multiply.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,1,521,1359333,1.7,3
41154,26,1078,4550.00,"2018-12-02 01:14:06","Doug Quakley",dquakley26@theglobeandmail.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,515,1271925,1.7,1
41155,26,1091,2712.00,"2019-02-20 20:06:33","Patrizio Foystone",pfoystone2j@ow.ly,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,506,1312608,1.3,3
41148,26,1028,255.00,"2019-12-09 05:07:30","Tonia Heggie",theggies@studiopress.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:05.000000Z,1,477,1200614,3.7,4
41133,26,1006,333.00,"2019-12-08 19:50:41","Amabel Wringe",awringe6@bloglovin.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:05.000000Z,0,498,1269074,2.3,1
41177,26,1048,343.00,"2020-01-20 17:21:26","Duffie Burbank",dburbank1c@china.com.cn,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,0,478,1206275,3,4
41239,26,1045,1530.00,"2020-01-12 13:02:42","Isabelita Mabbott",imabbott19@archive.org,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,474,1188380,3,4
41201,26,1060,1025.00,"2019-06-27 08:41:52","Gasparo D'Agostini",gdagostini1o@state.gov,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,0,545,1331103,1,3
41200,26,1043,3587.00,"2019-05-21 09:42:27","Brnaba Edmans",bedmans17@pcworld.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,1,500,1284057,2.7,1
41242,26,1058,4484.00,"2018-09-30 06:45:07","Gareth Surgeon",gsurgeon1m@istockphoto.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,517,1247940,1.7,1
41207,26,1004,1067.00,"2020-03-24 03:24:27","Dillie Skipworth",dskipworth4@princeton.edu,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,2,469,1209674,4,4
41179,26,1096,1899.00,"2020-04-03 15:24:42","Gael Bauser",gbauser2o@deliciousdays.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,0,508,1271623,2,1
41165,26,1072,119.00,"2019-04-22 03:14:06","Shel Sannes",ssannes20@ucla.edu,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,2,519,1360600,2,3
41182,26,1047,3313.00,"2019-01-29 18:30:24","Gwynne Petyakov",gpetyakov1b@com.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:05.000000Z,1,449,1173053,3.7,4
41168,26,1021,916.00,"2019-07-21 04:52:08","Kiersten Gilbard",kgilbardl@csmonitor.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,0,484,1251615,2.7,1
41178,26,1080,1528.00,"2018-06-18 16:39:03","Melamie Wilde",mwilde28@altervista.org,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,1,492,1327234,2.3,3
41170,26,1026,3052.00,"2018-08-25 19:04:58","Britteny Ebbett",bebbettq@archive.org,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,1,525,1298596,2,1
41183,26,1067,292.00,"2019-10-04 08:24:01","Elinore Matsell",ematsell1v@360.cn,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,1,499,1285469,2.7,1
41185,26,1092,4239.00,"2019-04-27 12:47:07","Sol Goly",sgoly2k@slate.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,1,492,1267573,3,1
41187,26,1019,2789.00,"2019-01-09 11:28:22","Halsey Tims",htimsj@xing.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,0,490,1278536,2,1
41188,26,1012,3485.00,"2020-04-02 14:53:27","Donielle Henzley",dhenzleyc@cam.ac.uk,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,2,486,1244170,3.7,1
41228,26,1033,286.00,"2018-11-09 08:35:39","Craggy Lockhurst",clockhurstx@patch.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,532,1350017,1,3
41189,26,1046,2818.00,"2019-11-21 08:40:25","Clive Elsmere",celsmere1a@thetimes.co.uk,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,0,514,1360301,1,3
41248,26,1018,1126.00,"2018-08-15 06:13:15","Brandea Fawdry",bfawdryi@si.edu,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,476,1238401,2.7,1
41254,26,1011,1399.00,"2020-02-25 17:15:02","Lambert Huertas",lhuertasb@php.net,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,503,1267453,2,1
41193,26,1090,546.00,"2019-10-12 21:07:05","Wheeler Dawks",wdawks2i@ehow.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,7,489,1275579,3,1
41258,26,1017,218.00,"2019-03-07 03:24:20","Saxon Verrechia",sverrechiah@blogs.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,519,1311556,1,3
41194,26,1027,3043.00,"2020-04-08 16:08:28","Filberte Dow",fdowr@amazon.co.uk,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,0,497,1295130,2,1
41224,26,1000,834.00,"2020-03-27 10:45:00","Geoffry Symes",gsymes0@i2i.jp,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,1,494,1298353,2.7,1
41195,26,1014,141.00,"2019-01-16 03:48:27","Broddy Ortner",bortnere@adobe.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,0,475,1255464,2.7,1
41223,26,1010,2352.00,"2019-10-17 08:03:26","Delmore Hymas",dhymasa@businessinsider.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,1,517,1310856,2,3
41197,26,1074,4546.00,"2019-08-01 10:50:36","Anna-diana Back",aback22@intel.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,0,513,1320298,1,3
41215,26,1009,731.00,"2019-06-19 19:10:51","Jorey Kaspar",jkaspar9@cbslocal.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,474,1216675,3,4
41202,26,1015,1402.00,"2020-01-14 07:14:28","Durante Bravington",dbravingtonf@wordpress.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,510,1333172,1.3,3
41250,26,1030,3408.00,"2020-02-19 19:45:12","Feliks Belcham",fbelchamu@wsj.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,2,533,1449175,2,2
41252,26,1061,2499.00,"2020-01-26 08:24:05","Waylin But",wbut1p@marriott.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,1,505,1217723,3,4
41169,26,1057,1753.00,"2018-10-29 04:03:29","Vidovik Lorkin",vlorkin1l@ca.gov,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,0,510,1288587,1.7,1
41256,26,1022,3293.00,"2018-12-02 07:42:55","Homere Wissby",hwissbym@sfgate.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:06.000000Z,2,473,1266567,3.7,1
41230,26,1079,2917.00,"2018-11-15 06:39:25","Jennie Jepperson",jjepperson27@wikia.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,511,1311922,1.3,3
41190,26,1039,4865.00,"2019-11-04 07:22:17","Mora Poli",mpoli13@4shared.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,1,490,1263195,3,1
41225,26,1075,2858.00,"2019-09-08 23:16:53","Dodie Pensom",dpensom23@cbsnews.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,512,1293618,1.7,1
41235,26,1055,157.00,"2020-02-24 03:13:04","Flossie Jacques",fjacques1j@imdb.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,495,1212401,2.7,4
41237,26,1053,4110.00,"2019-04-21 21:21:57","Riley Costin",rcostin1h@instagram.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,2,504,1287632,2.7,1
41221,26,1003,1240.00,"2020-01-17 13:21:31","Fayre Wakefield",fwakefield3@weather.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:05.000000Z,1,523,1369502,1.7,3
41217,26,1087,3865.00,"2019-06-29 02:57:25","Nelson Frankis",nfrankis2f@mozilla.org,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,488,1210581,2.7,4
41222,26,1025,3307.00,"2018-11-30 23:07:38","Whitney Burrells",wburrellsp@xing.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,1,484,1257241,3.3,1
41208,26,1098,2141.00,"2019-01-26 23:12:04","Dallon Francescoccio",dfrancescoccio2q@cdbaby.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,4,500,1265506,3.3,1
41253,26,1049,4892.00,"2020-04-07 23:13:22","Natividad Moiser",nmoiser1d@creativecommons.org,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:08.000000Z,0,483,1264195,2.7,1
41175,26,1013,2520.00,"2019-12-16 18:21:05","Sascha Mattecot",smattecotd@jiathis.com,2020-05-11T11:20:12.000000Z,2020-05-11T11:32:07.000000Z,1,504,1322319,2,3
41288,26,1076,4461.00,"2020-02-22 14:54:18","Windham Gerrelts",wgerrelts24@java.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,0,510,1307243,1.7,3
41285,26,1070,3509.00,"2018-09-16 02:42:10","Solomon Swindon",sswindon1y@tmall.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,1,518,1316850,1.7,3
41287,26,1069,3618.00,"2019-12-11 16:50:30","Terese Jefferd",tjefferd1x@youku.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,0,537,1402796,1,2
41291,26,1050,2286.00,"2018-05-30 13:16:52","Base Prichard",bprichard1e@netvibes.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,2,473,1129530,4,4
41293,26,1020,423.00,"2019-04-12 03:59:46","Wilt McMillam",wmcmillamk@cam.ac.uk,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,0,514,1285725,1.3,1
41294,26,1052,1821.00,"2018-09-02 19:29:55","Joelly Currer",jcurrer1g@amazon.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,3,490,1199037,3.7,4
41304,26,1082,4936.00,"2019-06-07 06:54:57","Rodrique Montfort",rmontfort2a@xinhuanet.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,0,477,1223149,3,4
41289,26,1032,1958.00,"2019-04-01 21:49:41","Audry Scholey",ascholeyw@storify.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,0,513,1273892,1.7,1
41279,26,1086,2179.00,"2018-09-10 12:01:18","Antonin Jorez",ajorez2e@chicagotribune.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,0,510,1277535,1.7,1
41286,26,1038,4824.00,"2020-01-09 09:42:16","Vernen Jovasevic",vjovasevic12@nyu.edu,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,4,511,1263854,3,1
41278,26,1077,160.00,"2018-06-27 01:18:18","Martguerita Buddell",mbuddell25@merriam-webster.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,0,512,1322328,1.3,3
41329,26,1064,4109.00,"2019-08-19 12:24:51","Heddie Maywood",hmaywood1s@4shared.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,0,512,1281499,1.7,1
41328,26,1054,138.00,"2019-10-14 08:00:51","Artemus Janc",ajanc1i@upenn.edu,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,5,505,1309016,2.7,3
41344,26,1037,2240.00,"2020-04-08 11:42:47","Mavis Beaudry",mbeaudry11@yelp.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,2,504,1293169,2.7,1
41270,26,1097,2613.00,"2019-11-21 02:07:01","Mariellen Sheryn",msheryn2p@mediafire.com,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:09.000000Z,0,481,1198405,3,4
41262,26,1095,3340.00,"2019-12-24 10:29:54","Redford Mengo",rmengo2n@noaa.gov,2020-05-11T11:20:13.000000Z,2020-05-11T11:32:08.000000Z,0,500,1286500,2,1
41394,26,1041,1731.00,"2018-11-14 03:09:58","Keelia Laurenceau",klaurenceau15@cisco.com,2020-05-11T11:20:14.000000Z,2020-05-11T11:32:09.000000Z,1,538,1414077,1.7,2
41437,26,1051,3994.00,"2020-01-21 23:25:43","Maighdiln Danilowicz",mdanilowicz1f@usgs.gov,2020-05-11T11:20:14.000000Z,2020-05-11T11:32:09.000000Z,0,492,1200431,2.7,4
41426,26,1073,4074.00,"2020-04-17 04:20:44","Anderea Horsey",ahorsey21@marriott.com,2020-05-11T11:20:14.000000Z,2020-05-11T11:32:09.000000Z,0,509,1290086,1.7,1
41383,26,1024,3591.00,"2019-07-08 07:27:47","Quintus Klauer",qklauero@smugmug.com,2020-05-11T11:20:14.000000Z,2020-05-11T11:32:09.000000Z,2,508,1304441,2.7,3
41579,26,1068,1871.00,"2019-06-23 23:49:37","Rowena Tomasicchio",rtomasicchio1w@virginia.edu,2020-05-11T11:20:16.000000Z,2020-05-11T11:32:09.000000Z,0,464,1211380,3,4
41613,26,1084,848.00,"2019-10-18 03:23:09","Ode Cockerton",ocockerton2c@dailymail.co.uk,2020-05-11T11:20:17.000000Z,2020-05-11T11:32:09.000000Z,0,481,1237894,3,1
41637,26,1094,3875.00,"2020-03-31 05:34:50","Cullie Pringle",cpringle2m@usda.gov,2020-05-11T11:20:17.000000Z,2020-05-11T11:32:09.000000Z,0,528,1363885,1,3
15953
